,name,nickname
861,alan,al
862,martha,marty
863,martha,mat
864,martha,mattie
865,martha,patsy
866,martha,patty
867,cecilia,celia
868,cecilia,cissy
869,vanessa,essa
870,vanessa,nessa
871,vanessa,vanna
872,michael,micah
873,michael,mick
874,michael,micky
875,michael,mike
876,dominic,dom
877,kristy,chris
878,harold,hal
879,harold,harry
880,pelegrine,perry
881,janice,jan
882,kent,ken
883,kent,kendrick
884,kent,kenny
885,vinson,vinny
886,antoinette,ann
887,antoinette,netta
888,antoinette,tony
889,adaline,ada
890,adaline,addy
891,adaline,delia
892,adaline,dell
893,adaline,lena
894,valentine,felty
895,jennifer,jennie
896,cathleen,cassie
897,cathleen,cathy
898,cathleen,kathy
899,cathleen,katy
900,cathleen,kay
901,cathleen,kit
902,cathleen,kittie
903,cathleen,lena
904,cathleen,trina
905,bertha,bert
906,bertha,bertie
907,bertha,birdie
908,allan,al
909,katelyn,kate
910,katelyn,kay
911,katelyn,kaye
912,john,jack
913,john,jock
914,john,johnny
915,dorothy,dolly
916,dorothy,dortha
917,dorothy,dot
918,dorothy,dotty
919,stuart,stu
920,leroy,l.r.
921,leroy,lee
922,leroy,roy
923,bradford,brad
924,bradford,ford
925,adelaide,addie
926,adele,addie
927,adeline,addie
928,alexa,lexi
929,alexia,lexi
930,alexia,lexie
931,alexis,lexi
932,alexis,lexie
933,alice,ally
934,alison,ali
935,alison,allie
936,alison,ally
937,alison,aly
938,allie,ali
939,allison,ali
940,allyson,ali
941,alyson,ali
942,alyssa,aly
943,andrea,andy
944,angela,ange
945,angela,angie
946,ann,jo
947,ann,nannie
948,annabelle,belle
949,annette,nettie
950,annie,nannie
951,ashlee,ash
952,ashley,ash
953,audrey,audie
954,barbara,barb
955,barbara,barbie
956,beatrix,trixie
957,becky,becki
958,becky,beki
959,bernadette,bennie
960,bernadette,benny
961,bessie,bessy
962,bethany,beth
963,camilla,millie
964,camilla,milly
965,candace,candi
966,candace,candy
967,caroline,cal
968,caroline,callie
969,caroline,caro
970,caroline,cary
971,carolyn,lyn
972,cassandra,cass
973,catherine,cat
974,catherine,cate
975,catherine,cath
976,catherine,cathi
977,catherine,cathie
978,catherine,catie
979,catherine,caty
980,catherine,kate
981,catherine,katie
982,cathy,cathi
983,cathy,cathie
984,cecilia,ceecee
985,cecilia,sissy
986,cecily,cecie
987,charlene,charley
988,charlene,charlie
989,charlotte,charley
990,charlotte,charlie
991,cherilyn,cher
992,clementine,clem
993,concepción,connie
994,corinne,corrie
995,daniella,danny
996,danielle,dani
997,danielle,danny
998,diana,di
999,dolores,dolly
1000,dorothy,dodie
1001,dorothy,doll
1002,elisabeth,beth
1003,ellen,nell
1004,emily,em
1005,emily,emmie
1006,emily,milly
1007,emma,em
1008,emma,emmie
1009,emma,emmy
1010,emmy,emmie
1011,ethel,eth
1012,eva,evie
1013,evangeline,evie
1014,eve,evie
1015,evelyn,evie
1016,evelyn,lyn
1017,fay,faye
1018,felicity,fliss
1019,fiona,fi
1020,florence,florrie
1021,florence,flossie
1022,florence,floy
1023,frances,fannie
1024,frances,fay
1025,frances,franny
1026,francine,franny
1027,gabriela,gabby
1028,gail,gayle
1029,georgia,george
1030,georgina,george
1031,georgina,georgie
1032,georgina,gina
1033,geraldine,geri
1034,geraldine,gerri
1035,geraldine,jeri
1036,geraldine,jerri
1037,gertrude,trudie
1038,gina,gena
1039,ginevra,ginny
1040,harriet,hallie
1041,harriet,hally
1042,helen,nell
1043,helen,nellie
1044,helen,nelly
1045,henrietta,hettie
1046,henrietta,hetty
1047,hetty,hettie
1048,ienken,jill
1049,isabella,bel
1050,isabella,bell
1051,isabella,isy
1052,isabella,izzie
1053,isabella,izzy
1054,isabelle,bel
1055,isabelle,bell
1056,isabelle,isy
1057,isabelle,izzie
1058,isabelle,izzy
1059,isobel,bel
1060,isobel,bell
1061,isobel,isy
1062,isobel,izzie
1063,isobel,izzy
1064,jacqueline,jackie
1065,jacqueline,jacky
1066,jacqueline,jacqui
1067,jacquelyn,jackie
1068,jane,janey
1069,jane,jenny
1070,jasmine,jas
1071,jasmine,jaz
1072,jemima,jem
1073,jennifer,jen
1074,jennifer,jenn
1075,jennifer,jenni
1076,jennifer,jenny
1077,jerilyn,jeri
1078,jerilyn,jerri
1079,jerilyn,jerry
1080,jo,jodi
1081,jo,jodie
1082,jo,jody
1083,joanna,jojo
1084,joanne,jojo
1085,judith,jodi
1086,judith,jodie
1087,judith,jody
1088,judith,judie
1089,judith,judy
1090,judy,judie
1091,julia,jilly
1092,julia,juley
1093,june,junie
1094,kate,cate
1095,katherine,kat
1096,katherine,kath
1097,katherine,kathi
1098,katherine,kathie
1099,katherine,kati
1100,katherine,kitty
1101,kathleen,kath
1102,kathy,kathi
1103,kathy,kathie
1104,kay,kaye
1105,kerry,kez
1106,kimberly,kimmy
1107,kristina,kris
1108,kristina,krissie
1109,kristina,krissy
1110,kristine,krissy
1111,laura,lauri
1112,laura,laurie
1113,laura,lorie
1114,laurie,lauri
1115,laurie,lorie
1116,lavinia,vinnie
1117,letitia,letty
1118,letitia,tisha
1119,letitia,titty
1120,lilian,lil
1121,lily,lillie
1122,lily,lilly
1123,linda,lindie
1124,louisa,lula
1125,louisa,lulu
1126,louise,lulu
1127,lydia,liddy
1128,lynn,lynne
