,name,nickname
1203,nathaniel,nat
1204,diarmaid,dermot
1205,augustina,gatsy
1206,bradford,ford
1207,christine,chris
1208,azariah,riah
1209,lyndon,lynn
1210,bernard,berney
1211,alexandra,allie
1212,louise,lois
1213,stephanie,steffi
1214,christina,kristy
1215,andrew,drew
1216,hannah,nanny
1217,lucinda,cindy
1218,nathaniel,than
1219,katherine,katy
1220,susan,suzie
1221,melvyn,mel
1222,martha,matty
1223,relief,leafa
1224,theresa,tracy
1225,roxanna,roxie
1226,charles,charley
1227,isabella,isy
1228,jo,jody
1229,simeon,sim
1230,kristin,chris
1231,jane,janie
1232,florence,florrie
1233,roseanne,ann
1234,samantha,sammy
1235,gilford,gil
1236,abiel,ab
1237,lucy,lu
1238,winifred,freddie
1239,immanuel,manny
1240,bridget,biddy
1241,rosemary,rosie
1242,cordelia,cordy
1243,kimberly,kimmy
1244,scott,scottie
1245,jeanette,jessie
1246,keziah,kizza
1247,alfonzo,fonzie
1248,camille,millie
1249,theodore,theo
1250,elbert,albert
1251,augustina,gussie
1252,edwin,ned
1253,lawrence,lon
1254,zebedee,zeb
1255,caroline,carole
1256,nicholas,nic
1257,sarah,sadie
1258,john,jon
1259,alan,allie
1260,hallie,hally
1261,patrick,pate
1262,johannes,joh
1263,matilda,mattie
1264,lorraine,lorrie
1265,eduardo,eddie
1266,katie,kati
1267,winnifred,winnie
1268,sandra,cassandra
1269,peter,pete
1270,randall,randy
1271,lawrence,larry
1272,alexis,lexi
1273,virginia,ginger
1274,barbara,barbie
1275,hester,hessy
1276,albert,al
1277,emmanuel,manny
1278,reginald,renny
1279,edmund,eddie
1280,katherine,cassie
1281,frederick,freddie
1282,florence,flossie
1283,frances,frannie
1284,nathanael,nate
1285,laura,laurie
1286,vanessa,vanna
1287,melody,mel
1288,caroline,lynn
1289,elizabeth,betsy
1290,rachel,ray
1291,cedric,ced
1292,carolann,carol
1293,rosalyn,roz
1294,bernard,bernie
1295,epaphroditius,ditus
1296,martina,marty
1297,bernard,barney
1298,edmond,ed
1299,benjamin,benny
1300,cathy,cathie
1301,ethel,eth
1302,roland,rolly
1303,david,davey
1304,rudolphus,dolph
1305,lucille,lu
1306,christiana,kristy
1307,katelin,kay
1308,kathy,kathie
1309,caroline,carrie
1310,belle,bell
1311,christiana,chris
1312,solomon,zolly
1313,lavina,viney
1314,wilford,wil
1315,hester,hettie
1316,wilhelmina,willie
1317,geraldine,jerri
1318,gilbert,bert
1319,christopher,chip
1320,dorothy,dolly
1321,ricardo,ricky
1322,joan,jo
1323,henrietta,etta
1324,carolyn,cassie
1325,tobiah,toby
1326,roderick,rod
1327,kristine,christy
1328,hannah,
1329,frances,fay
1330,epaphroditius,dite
1331,alvin,alvy
1332,stuart,stu
1333,geraldine,gerry
1334,simon,si
1335,barnett,barney
1336,gustav,gus
1337,patricia,patty
1338,valeri,val
1339,annie,nannie
1340,lenora,lee
1341,philippa,pip
1342,carolyn,carrie
1343,clement,clemmie
1344,melinda,lynn
1345,louisa,lois
1346,ernest,ernie
1347,miranda,mira
1348,amelia,mel
1349,wesley,wes
1350,henrietta,nettie
1351,marilla,rilla
1352,adelaide,della
1353,richard,dickey
1354,marjorie,margie
1355,jonathan,jon
1356,broderick,ricky
1357,junior,june
1358,martha,patsy
1359,adeline,lena
1360,jesse,jess
1361,christine,chrissie
1362,deliverance,dilly
1363,rosabel,rosa
1364,michaela,micky
1365,delbert,bert
1366,rosabel,rose
1367,lawrence,lorne
1368,alfreda,freddy
1369,alfonso,alfy
1370,eleazer,lazar
1371,christine,tina
1372,clifford,cliff
1373,stewart,stew
1374,simon,sim
1375,gabriel,gabe
1376,james,jimmer
1377,melissa,missy
1378,tyrone,ty
1379,phillip,pip
1380,lawrence,lonny
1381,lillian,lil
1382,margaret,peggy
1383,kingston,king
1384,maxine,maxy
1385,herbert,herb
1386,patty,patti
1387,cornelius,conny
1388,carol,carrie
1389,edward,teddy
1390,leroy,l.r.
1391,bernice,bennie
1392,roland,lanny
1393,faith,fay
1394,campbell,camp
1395,isabelle,isy
1396,isabel,isy
1397,laura,lorie
1398,melinda,mendy
1399,emma,em
1400,lillah,lolly
1401,christiana,tina
1402,allisandra,allie
1403,margaret,mags
1404,isabel,belle
1405,curtis,curt
1406,ferdinand,freddie
1407,theresa,terry
1408,victoria,torie
1409,casey,k.c.
1410,gertrude,trudy
1411,richard,dicky
1412,kristy,chris
1413,kathy,kathi
1414,fay,faye
1415,zedediah,diah
1416,alberta,allie
1417,abel,ebbie
1418,catherine,katie
1419,barry,bazza
1420,cassandra,sandra
1421,lucas,luke
1422,broderick,rick
1423,joanne,jojo
1424,bill,fred
1425,geraldine,dina
1426,albert,bert
1427,ann,jo
1428,wilhelmina,minnie
